13
2,9,22,9,43,9,64,9,85,9,106,9,127,9,127,84,106,84,85,84,64,84,43,84,22,84,2,84,"A"
163,9,206,9,250,9,293,9,337,9,380,9,424,9,424,82,380,82,337,82,293,82,250,82,206,82,163,82,"great"
479,13,504,13,529,13,554,13,579,13,604,13,630,13,630,82,604,82,579,82,554,82,529,82,504,82,479,82,"man"
684,7,704,7,725,7,746,7,766,7,787,7,808,7,808,74,787,74,766,74,746,74,725,74,704,74,684,74,"is"
846,8,871,8,896,8,921,8,946,8,971,8,997,8,997,79,971,79,946,79,921,79,896,79,871,79,846,79,"one"
60,94,85,94,110,94,135,94,160,94,185,94,211,94,211,166,185,166,160,166,135,166,110,166,85,166,60,166,"who"
262,91,289,91,316,91,343,91,370,91,397,91,425,91,425,160,397,160,370,160,343,160,316,160,289,160,262,160,"has"
480,90,505,90,530,90,555,90,580,90,605,90,631,90,631,163,605,163,580,163,555,163,530,163,505,163,480,163,"not"
690,88,724,88,758,88,792,88,826,88,860,88,895,88,895,159,860,159,826,159,792,159,758,159,724,159,690,159,"lost"
59,173,84,173,109,173,134,173,159,173,184,173,210,173,210,248,184,248,159,248,134,248,109,248,84,248,59,248,"his"
270,170,330,170,391,170,451,170,512,170,572,170,633,170,633,244,572,244,512,244,451,244,391,244,330,244,270,244,"child's"
693,168,744,168,796,168,848,168,899,168,951,168,1003,168,1003,247,951,247,899,247,848,247,796,247,744,247,693,247,"heart"
58,333,136,333,215,333,293,333,372,333,450,333,529,333,529,416,450,416,372,416,293,416,215,416,136,416,58,416,"(mencius)"
